timestep_parent,track_id_parent,track_id_child1,track_id_child2
2,1,2,3
15,3,4,5
15,2,6,7
29,7,8,9
29,6,10,11
30,5,12,13
29,4,14,15
56,15,18,19
55,14,20,21
50,13,22,23
51,12,24,25
50,9,26,27
51,8,28,29
56,11,30,31
58,10,32,33
70,28,34,35
72,29,36,37
72,26,38,39
72,27,40,41
74,23,42,43
71,22,44,45
80,20,46,47
81,21,48,49
83,32,50,51
82,33,52,53
81,31,54,55
82,25,56,57
81,18,58,59
81,19,60,61
105,51,62,63
104,50,64,65
103,52,66,67
103,53,68,69
106,30,70,71
105,55,72,73
96,35,74,75
110,74,76,77
95,39,78,79
95,34,80,81
108,40,82,83
101,24,86,87
